simulation,sample_size,total_return,max_drawdown,sharpe_ratio,total_trades,win_rate,profit_factor,expectancy,net_profit,largest_win,largest_loss,avg_trade_duration
366,7000,-0.001124672703143733,-0.0012897580415261473,-0.6543592956289345,390,0.358974358974359,0.6172299532253971,-0.028866051583498288,-11.257760117564334,0.6310573648748896,-0.5070562644577301,13.441025640833333
367,7000,-0.0009698324589176991,-0.0011333171207017585,-0.5328519042467387,372,0.3924731182795699,0.6604148881576726,-0.026098752368801693,-9.708735881194233,0.6889370110219902,-0.6273139463518157,14.71236559138889
368,7000,-0.000985978741827239,-0.0011416661109524137,-0.5839760767557326,367,0.37057220708446864,0.6334113096930567,-0.02689443799148357,-9.870258742874466,0.39826592015391604,-0.5179815342986706,14.040871934444445
369,7000,-0.0009150243804328057,-0.0010758563532896378,-0.5330374039292297,363,0.371900826446281,0.6548144484355427,-0.02523697812363146,-9.161023058878218,0.9727484579584258,-0.6765347461190919,14.380165289166667
370,7000,-0.0007205768583497047,-0.0008711431168915124,-0.4423184339458292,355,0.38873239436619716,0.7082952944447245,-0.020328427572214057,-7.216591788135986,0.46578526681910637,-0.4770886648526429,15.954929577222222
371,7000,-0.0008962352369864675,-0.0009902608076081249,-0.5203257925520837,365,0.3780821917808219,0.6655842198039064,-0.024584323513545135,-8.973278082443976,0.6299826827323263,-0.5787675171838329,15.205479451944443
372,7000,-0.0012193933214608478,-0.0012558838818688784,-0.7036592967760407,395,0.36455696202531646,0.5971586384105964,-0.03089772714384298,-12.204602221817975,0.3041532271131301,-0.8736322514517422,13.270886075833333
373,7000,-0.0009150043793162694,-0.001042351307591713,-0.5235549420830947,367,0.3978201634877384,0.664184276583183,-0.02496219209872943,-9.161124500233697,0.5913950810326786,-0.9239997701623294,14.656675749166668
374,7000,-0.0009396774788472612,-0.001083928278057433,-0.5692008497810864,375,0.38666666666666666,0.6524090050546827,-0.025086393445584255,-9.407397542094095,0.4221714026966843,-0.5024236229412528,14.536
375,7000,-0.0007274394687487075,-0.0009238762166557487,-0.4289292533172852,373,0.4075067024128686,0.7279090262478125,-0.019532086293087517,-7.285468187321648,0.4527093382002165,-0.5653500697793592,14.70777479888889
376,7000,-0.001058870350725738,-0.0012522832470990416,-0.5707389041931872,364,0.37362637362637363,0.6344923995624052,-0.029120076988175835,-10.599708023696003,0.7357588655522407,-0.9982723146977261,15.123626373611112
377,7000,-0.0008344277900885572,-0.000952169083230322,-0.4518934703634868,365,0.4,0.6907565720539925,-0.022889560206279982,-8.354689475292194,0.4273156344149322,-1.1555700598891456,13.778082191666666
378,7000,-0.0009063680773671877,-0.0011104592769560645,-0.5050260877414452,367,0.39509536784741145,0.6677874662597092,-0.02472678520489561,-9.074730170196688,0.43911142384979074,-1.1939895745493638,15.321525885555555
379,7000,-0.0009646351827313993,-0.001110241597171964,-0.5295870089470404,359,0.4011142061281337,0.6414995979104382,-0.026900312248770084,-9.657212097308456,0.421785383675971,-1.0237683201730405,14.242339832777777
380,7000,-0.000833624717900966,-0.0010672946423711965,-0.5057207019694537,368,0.36684782608695654,0.6919502688642312,-0.022682896182231516,-8.347305795061203,0.5957065551515448,-0.395296683773847,13.483695651944444
381,7000,-0.0011594606700000441,-0.0013282789645869815,-0.6592479312686831,400,0.3675,0.6207286738627473,-0.02901366182112538,-11.605464728450151,0.5829625407119816,-0.9138390606475537,13.14
382,7000,-0.0007911341859107779,-0.0009314536373933152,-0.47945178576853614,359,0.39275766016713093,0.689179587976706,-0.022065337788580018,-7.921456266100229,0.47387264269086526,-0.6652232285088955,13.997214484444445
